asset_name,license_type,commercial_use,confidence,detection_source,license_file
vits-vctk.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/csukuangfj/vits-vctk
espeak-ng-data.tar.bz2,mit,yes,high,manual,https://github.com/rhasspy/piper
vits-piper-en_GB-sweetbbak-amy.tar.bz2,mit,yes,high,manual,https://github.com/rhasspy/piper
vits-coqui-en-ljspeech.tar.bz2,apache-2.0,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-en-ljspeech-neon.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-en-vctk.tar.bz2,apache-2.0,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-da-cv.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-sl-cv.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-lt-cv.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-de-css10.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-bg-cv.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-fr-css10.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-cs-cv.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-fi-css10.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-sk-cv.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-hr-cv.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-ga-cv.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-et-cv.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-ro-cv.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-nl-css10.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-pt-cv.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-bn-custom_female.tar.bz2,apache-2.0,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-mt-cv.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-lv-cv.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-pl-mai_female.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-es-css10.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-sv-cv.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-coqui-uk-mai.tar.bz2,bsd-3-clause,yes,high,manual,https://github.com/idiap/coqui-ai-TTS/blob/dev/TTS/.models.json
vits-piper-en_US-glados.tar.bz2,mit,yes,high,manual,https://github.com/dnhkng/GlaDOS/raw/main/models/glados.onnx
vits-piper-es-glados-medium.tar.bz2,mit,yes,high,manual,https://github.com/dnhkng/GlaDOS/raw/main/models/glados.onnx
vits-mms-nan.tar.bz2,cc-by-4.0,yes,high,manual,https://huggingface.co/facebook/mms-tts/tree/main/models/nan
vits-mms-eng.tar.bz2,cc-by-4.0,yes,high,manual,https://huggingface.co/facebook/mms-tts/tree/main/models/nan
