asset_name,license_type,commercial_use,confidence,detection_source,license_file
sherpa-onnx-zipformer-en-2023-06-26.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-zipformer-en-2023-06-26
sherpa-onnx-streaming-zipformer-en-20M-2023-02-17.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-streaming-zipformer-en-20M-2023-02-17
sherpa-onnx-streaming-zipformer-zh-14M-2023-02-23.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-streaming-zipformer-zh-14M-2023-02-23
sherpa-onnx-paraformer-trilingual-zh-cantonese-en.tar.bz2,apache-2.0,yes,high,modelscope_detail_json,https://www.modelscope.cn/models/dengcunqin/speech_seaco_paraformer_large_asr_nat-zh-cantonese-en-16k-common-vocab11666-pytorch/summary
sherpa-onnx-paraformer-en-2024-03-09.tar.bz2,apache-2.0,yes,high,modelscope_detail_json,https://www.modelscope.cn/models/iic/speech_paraformer_asr-en-16k-vocab4199-pytorch/summary
sherpa-onnx-paraformer-zh-small-2024-03-09.tar.bz2,no-license,no,high,manual,https://www.modelscope.cn/models/crazyant/speech_paraformer_asr_nat-zh-cn-16k-common-vocab8358-onnx/summary
sherpa-onnx-paraformer-zh-2023-03-28.tar.bz2,mit,yes,medium,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-paraformer-zh-2023-03-28
sherpa-onnx-paraformer-zh-2024-03-09.tar.bz2,apache-2.0,yes,high,modelscope_detail_json,https://www.modelscope.cn/models/iic/speech_paraformer-large_asr_nat-zh-cn-16k-common-vocab8358-tensorflow1/summary
sherpa-onnx-streaming-paraformer-bilingual-zh-en.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-streaming-paraformer-bilingual-zh-en
sherpa-onnx-streaming-paraformer-trilingual-zh-cantonese-en.tar.bz2,apache-2.0,yes,high,modelscope_detail_json,https://modelscope.cn/models/dengcunqin/speech_paraformer-large_asr_nat-zh-cantonese-en-16k-vocab8501-online/summary
sherpa-onnx-paraformer-zh-2023-09-14.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-paraformer-zh-2023-09-14
sherpa-onnx-zipformer-cantonese-2024-03-13.tar.bz2,no-license,no,high,manual,
sherpa-onnx-streaming-zipformer-small-bilingual-zh-en-2023-02-16.tar.bz2,no-license,no,high,manual,
sherpa-onnx-streaming-zipformer-ctc-small-2024-03-18.tar.bz2,no-license,no,high,manual,
sherpa-onnx-lstm-zh-2023-02-20.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-lstm-zh-2023-02-20
sherpa-onnx-lstm-en-2023-02-17.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-lstm-en-2023-02-17
sherpa-onnx-streaming-conformer-zh-2023-05-23.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-streaming-conformer-zh-2023-05-23
icefall-asr-zipformer-streaming-wenetspeech-20230615.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/pkufool/icefall-asr-zipformer-streaming-wenetspeech-20230615
sherpa-onnx-streaming-zipformer-en-2023-02-21.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-streaming-zipformer-en-2023-02-21
sherpa-onnx-streaming-zipformer-fr-2023-04-14.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/shaojieli/sherpa-onnx-streaming-zipformer-fr-2023-04-14
sherpa-onnx-streaming-zipformer-en-2023-06-21.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-streaming-zipformer-en-2023-06-21
sherpa-onnx-conformer-zh-stateless2-2023-05-23.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-conformer-zh-stateless2-2023-05-23
sherpa-onnx-conformer-en-2023-03-18.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-conformer-en-2023-03-18
sherpa-onnx-conformer-zh-2023-05-23.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-conformer-zh-2023-05-23
icefall-asr-cv-corpus-13.0-2023-03-09-en-pruned-transducer-stateless7-2023-04-17.tar.bz2,no-license,no,high,manual,
icefall-asr-zipformer-wenetspeech-20230615.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/pkufool/icefall-asr-zipformer-streaming-wenetspeech-20230615
sherpa-onnx-zipformer-small-en-2023-06-26.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-zipformer-small-en-2023-06-26
sherpa-onnx-zipformer-large-en-2023-06-26.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-zipformer-large-en-2023-06-26
icefall-asr-multidataset-pruned_transducer_stateless7-2023-05-04.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/yfyeung/icefall-asr-multidataset-pruned_transducer_stateless7-2023-05-04
sherpa-onnx-zipformer-en-2023-04-01.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-zipformer-en-2023-04-01
sherpa-onnx-zipformer-en-2023-03-30.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-zipformer-en-2023-03-30
sherpa-onnx-zipformer-multi-zh-hans-2023-9-2.tar.bz2,no-license,no,high,manual,https://huggingface.co/zrjin/sherpa-onnx-zipformer-multi-zh-hans-2023-9-2
sherpa-onnx-nemo-ctc-en-citrinet-512.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-ctc-en-citrinet-512
sherpa-onnx-nemo-ctc-en-conformer-small.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-ctc-en-conformer-small
sherpa-onnx-nemo-ctc-en-conformer-medium.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-ctc-en-conformer-medium
sherpa-onnx-nemo-ctc-en-conformer-large.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-ctc-en-conformer-large
sherpa-onnx-tdnn-yesno.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-tdnn-yesno
spoken-language-identification-test-wavs.tar.bz2,no-license,no,high,manual,
sherpa-onnx-zipformer-ctc-en-2023-10-02.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-zipformer-ctc-en-2023-10-02
sherpa-onnx-zh-wenet-aishell.tar.bz2,cc-by-4.0,yes,high,manual,https://github.com/wenet-e2e/wenet/blob/main/docs/pretrained_models.md
sherpa-onnx-zh-wenet-aishell2.tar.bz2,cc-by-4.0,yes,high,manual,https://github.com/wenet-e2e/wenet/blob/main/docs/pretrained_models.md
sherpa-onnx-en-wenet-librispeech.tar.bz2,cc-by-4.0,yes,high,manual,https://github.com/wenet-e2e/wenet/blob/main/docs/pretrained_models.md
sherpa-onnx-zh-wenet-wenetspeech.tar.bz2,cc-by-4.0,yes,high,manual,https://github.com/wenet-e2e/wenet/blob/main/docs/pretrained_models.md
sherpa-onnx-en-wenet-gigaspeech.tar.bz2,apache-2.0,yes,high,manual,https://github.com/wenet-e2e/wenet/blob/main/docs/pretrained_models.md
sherpa-onnx-streaming-conformer-en-2023-05-09.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-streaming-conformer-en-2023-05-09
sherpa-onnx-streaming-zipformer-bilingual-zh-en-2023-02-20.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-streaming-zipformer-bilingual-zh-en-2023-02-20
sherpa-onnx-telespeech-ctc-zh-2024-06-04.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/Tele-AI/TeleSpeech-ASR
sherpa-onnx-telespeech-ctc-int8-zh-2024-06-04.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/Tele-AI/TeleSpeech-ASR
sherpa-onnx-zipformer-thai-2024-06-20.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/yfyeung/icefall-asr-gigaspeech2-th-zipformer-2024-06-20
sherpa-onnx-zipformer-korean-2024-06-24.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/johnBamma/icefall-asr-ksponspeech-zipformer-2024-06-24
sherpa-onnx-streaming-zipformer-korean-2024-06-16.tar.bz2,no-license,no,high,manual,https://aihub.or.kr/aihubdata/data/view.do?currMenu=115&topMenu=100&aihubDataSe=realm&dataSetSn=123
silero_vad_v5.onnx,mit,yes,high,manual,https://github.com/snakers4/silero-vad/blob/master/LICENSE
sherpa-onnx-zipformer-en-libriheavy-20230926-small.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/datasets/pkufool/libriheavy
sherpa-onnx-zipformer-en-libriheavy-20230926-medium.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/datasets/pkufool/libriheavy
sherpa-onnx-zipformer-en-libriheavy-20230926-large.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/datasets/pkufool/libriheavy
sherpa-onnx-zipformer-en-libriheavy-20230830-small-punct-case.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/datasets/pkufool/libriheavy
sherpa-onnx-zipformer-en-libriheavy-20230830-medium-punct-case.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/datasets/pkufool/libriheavy
sherpa-onnx-zipformer-en-libriheavy-20230830-large-punct-case.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/datasets/pkufool/libriheavy
sherpa-onnx-whisper-medium.tar.bz2,mit,yes,high,manual,https://github.com/openai/whisper/
sherpa-onnx-whisper-medium.en.tar.bz2,mit,yes,high,manual,https://github.com/openai/whisper/
sherpa-onnx-whisper-small.en.tar.bz2,mit,yes,high,manual,https://github.com/openai/whisper/
sherpa-onnx-whisper-medium-aishell.tar.bz2,mit,yes,high,manual,https://github.com/openai/whisper/
sherpa-onnx-whisper-tiny.tar.bz2,mit,yes,high,manual,https://github.com/openai/whisper/
sherpa-onnx-whisper-small.tar.bz2,mit,yes,high,manual,https://github.com/openai/whisper/
sherpa-onnx-whisper-tiny.en.tar.bz2,mit,yes,high,manual,https://github.com/openai/whisper/
sherpa-onnx-whisper-large-v3.tar.bz2,mit,yes,high,manual,https://github.com/openai/whisper/
sherpa-onnx-whisper-large-v2.tar.bz2,mit,yes,high,manual,https://github.com/openai/whisper/
sherpa-onnx-whisper-large-v1.tar.bz2,mit,yes,high,manual,https://github.com/openai/whisper/
sherpa-onnx-sense-voice-zh-en-ja-ko-yue-2024-07-17.tar.bz2,apache-2.0,yes,high,manual,https://k2-fsa.github.io/sherpa/onnx/sense-voice/pretrained.html#sherpa-onnx-sense-voice-zh-en-ja-ko-yue-2024-07-17-int8-chinese-english-japanese-korean-cantonese
silero_vad_v4.onnx,mit,yes,high,manual,https://github.com/snakers4/silero-vad/blob/master/LICENSE
sherpa-onnx-streaming-zipformer-en-2023-06-26.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-streaming-zipformer-en-2023-06-26
sherpa-onnx-streaming-zipformer-zh-14M-2023-02-23-mobile.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/marcoyang/sherpa-ncnn-streaming-zipformer-zh-14M-2023-02-23
sherpa-onnx-streaming-zipformer-en-20M-2023-02-17-mobile.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/desh2608/icefall-asr-librispeech-pruned-transducer-stateless7-streaming-small
icefall-asr-zipformer-streaming-wenetspeech-20230615-mobile.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/pkufool/icefall-asr-zipformer-streaming-wenetspeech-20230615
sherpa-onnx-streaming-zipformer-en-2023-06-26-mobile.tar.bz2,no-license,no,high,manual,https://huggingface.co/Zengwei/icefall-asr-librispeech-streaming-zipformer-2023-05-17
sherpa-onnx-streaming-zipformer-multi-zh-hans-2023-12-12-mobile.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh-hans/ASR#included-training-sets
sherpa-onnx-streaming-zipformer-korean-2024-06-16-mobile.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/johnBamma/icefall-asr-ksponspeech-pruned-transducer-stateless7-streaming-2024-06-12
